ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,mo_sold,yr_sold,sale_type,saleprice
1story_1946_&_newer_all_styles,RL,108.0,12228.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Stone,206.0,Gd,TA,PConc,Ex,Gd,No,Unf,0.0,Unf,1721.0,GasA,Ex,Y,SBrkr,1740.0,0.0,1740.0,0,2,0,4,1,Gd,8,Typ,0,,Attchd,2006,RFn,3,874.0,TA,TA,Y,0.0,43.0,9,2006,New,12.587927887999204
1story_1946_&_newer_all_styles,RL,78.0,10335.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1968,1993,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,570.0,Unf,1461.0,GasA,Gd,Y,SBrkr,1721.0,0.0,1721.0,0,2,1,3,1,TA,7,Min1,1,TA,Attchd,1968,RFn,2,440.0,TA,TA,Y,0.0,96.0,7,2006,WD ,12.100712129872347
split_or_multilevel,RL,69.06,12328.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,335.0,TA,TA,CBlock,TA,TA,Av,GLQ,539.0,Unf,1012.0,GasA,TA,Y,SBrkr,1034.0,0.0,1034.0,1,1,0,3,1,TA,6,Typ,0,,Attchd,1976,Unf,3,888.0,TA,TA,Y,0.0,0.0,5,2010,WD ,12.042965307660024
duplex__all_styles_and_ages,RM,68.0,8930.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,Duplex,1.5Fin,6,5,1978,1978,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Slab,,,,,0.0,,0.0,GasA,TA,Y,SBrkr,1318.0,584.0,1902.0,0,2,0,4,2,TA,8,Typ,0,,Attchd,1978,Unf,2,539.0,TA,TA,Y,0.0,0.0,4,2010,WD ,11.626254150277232
1story_1946_&_newer_all_styles,RL,81.0,9672.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,1984,1985,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,338.0,Unf,1040.0,GasA,TA,Y,SBrkr,1097.0,0.0,1097.0,0,2,0,3,1,TA,6,Typ,0,,Attchd,1986,Unf,2,480.0,TA,TA,Y,0.0,0.0,5,2010,WD ,11.931635799828413
2story_1946_&_newer,RL,120.0,13975.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,525.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,1090.0,GasA,Ex,Y,SBrkr,1117.0,1089.0,2206.0,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,2005,Fin,3,670.0,TA,TA,Y,148.0,95.0,8,2006,New,12.611537753638338
split_or_multilevel,RL,94.0,7819.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,422.0,BLQ,1029.0,GasA,TA,Y,SBrkr,1117.0,0.0,1117.0,1,1,0,3,1,TA,6,Typ,1,TA,Detchd,1976,Unf,2,672.0,TA,TA,Y,144.0,0.0,3,2010,WD ,11.580584113444043
2_family_conversion__all_styles_and_ages,RM,60.0,11340.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,6,1885,1950,Gable,CompShg,VinylSd,AsbShng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,777.0,GasA,Gd,Y,SBrkr,1246.0,1044.0,2290.0,0,2,0,4,2,TA,11,Typ,0,,Detchd,1971,Unf,2,560.0,TA,TA,N,0.0,0.0,4,2010,WD ,11.715866308966918
2story_pud__1946_&_newer,RM,21.0,1680.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,ALQ,276.0,Unf,483.0,GasA,TA,Y,SBrkr,483.0,465.0,948.0,0,1,1,2,1,TA,5,Typ,0,,Detchd,1972,Unf,1,264.0,TA,TA,Y,0.0,0.0,7,2006,WD ,11.396391648714276
11/2_story_finished_all_ages,RL,65.0,6001.0,Pave,IR1,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Fa,TA,No,LwQ,368.0,Unf,600.0,GasA,Ex,N,SBrkr,600.0,319.0,919.0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1940,Unf,1,231.0,TA,TA,Y,0.0,0.0,3,2010,WD ,11.461632170582678
1story_1946_&_newer_all_styles,RL,78.0,11700.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,6,6,1968,1968,Gable,CompShg,MetalSd,MetalSd,BrkFace,41.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,912.0,GasA,Ex,Y,SBrkr,1152.0,0.0,1152.0,1,1,1,3,1,TA,7,Typ,0,,Attchd,1968,RFn,2,412.0,TA,TA,Y,0.0,126.0,9,2007,CWD,11.87374182140951
2story_1946_&_newer,RL,102.0,12858.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,1590.0,GasA,Ex,Y,SBrkr,1627.0,707.0,2334.0,0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009,Fin,3,751.0,TA,TA,Y,144.0,133.0,1,2010,New,12.837775180646194
1story_1946_&_newer_all_styles,RL,73.0,9300.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,HdBoard,BrkFace,324.0,TA,TA,CBlock,TA,TA,No,Rec,697.0,Unf,1268.0,GasA,TA,Y,SBrkr,1264.0,0.0,1264.0,1,1,0,3,1,TA,6,Typ,2,Gd,Attchd,1960,Unf,2,461.0,TA,TA,Y,0.0,0.0,4,2010,WD ,12.028738630247258
duplex__all_styles_and_ages,RL,64.0,7018.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1086.0,Unf,1086.0,GasA,TA,Y,SBrkr,1224.0,0.0,1224.0,2,0,2,2,2,TA,6,Typ,2,TA,Detchd,1979,Unf,2,528.0,TA,TA,Y,120.0,0.0,6,2009,WD ,11.940393392554734
2story_1945_&_older,RH,54.0,6629.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,TA,TA,No,BLQ,551.0,Unf,672.0,GasA,TA,N,SBrkr,697.0,672.0,1369.0,1,2,0,3,1,TA,6,Typ,0,,Detchd,1930,Unf,1,300.0,TA,TA,Y,147.0,0.0,7,2009,WD ,11.54829260880752
1story_1946_&_newer_all_styles,RL,75.0,10650.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Gd,Av,LwQ,182.0,ALQ,894.0,GasA,TA,Y,SBrkr,894.0,0.0,894.0,1,1,0,3,1,TA,5,Typ,0,,Attchd,1976,Unf,1,308.0,TA,TA,Y,365.0,0.0,2,2010,WD ,11.761346823468706
2story_pud__1946_&_newer,FV,69.06,2117.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,Unf,756.0,GasA,Ex,Y,SBrkr,769.0,804.0,1573.0,0,2,1,3,1,Gd,5,Typ,0,,Detchd,2000,Unf,2,440.0,TA,TA,Y,0.0,32.0,6,2010,WD ,12.086725887897607
2story_1946_&_newer,RL,105.0,13650.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,1671.0,GasA,Ex,Y,SBrkr,1687.0,563.0,2250.0,1,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,2002,Fin,3,756.0,TA,TA,Y,238.0,130.0,6,2010,WD ,12.676076274775909
2story_1946_&_newer,RL,42.0,8433.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,683.0,Unf,794.0,GasA,Ex,Y,SBrkr,819.0,695.0,1514.0,1,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000,Fin,2,394.0,TA,TA,Y,0.0,72.0,6,2009,WD ,12.154779351142624
2_family_conversion__all_styles_and_ages,RM,50.0,6000.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,811.0,GasA,TA,Y,FuseA,811.0,576.0,1387.0,0,2,0,3,2,Gd,7,Typ,0,,BuiltIn,1954,Unf,1,256.0,TA,TA,Y,0.0,0.0,11,2009,WD ,11.440354772135393
2story_1945_&_older,C (all),50.0,8500.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,649.0,GasA,TA,N,SBrkr,649.0,668.0,1317.0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920,Unf,1,250.0,TA,Fa,N,0.0,54.0,7,2008,WD ,10.596634733096073
1story_1945_&_older,C (all),66.0,8712.0,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,7,1896,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,Fa,CBlock,TA,TA,No,Unf,0.0,Unf,756.0,GasA,Gd,Y,SBrkr,952.0,0.0,952.0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1896,RFn,1,330.0,TA,TA,N,0.0,0.0,6,2010,WD ,10.822534482604
1story_1946_&_newer_all_styles,RL,69.06,7917.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,TA,Gd,CBlock,TA,Gd,No,BLQ,751.0,Unf,1143.0,GasA,TA,Y,SBrkr,1113.0,0.0,1113.0,1,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1987,RFn,1,504.0,TA,Gd,Y,370.0,30.0,5,2007,WD ,11.904967552746252
1story_1945_&_older,RM,71.0,6900.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,403.0,Rec,740.0,GasA,Ex,Y,SBrkr,778.0,0.0,778.0,0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1966,Fin,1,924.0,Ex,Ex,Y,0.0,25.0,2,2008,WD ,11.699405031912846
11/2_story_finished_all_ages,RL,60.0,9900.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,7,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,778.0,GasA,TA,Y,SBrkr,944.0,545.0,1489.0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,1940,Unf,1,240.0,TA,TA,Y,335.0,0.0,7,2009,WD ,11.845819880243557
1story_1946_&_newer_all_styles,RL,86.0,13286.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,9,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,340.0,Ex,TA,PConc,Ex,TA,No,GLQ,1234.0,Unf,1698.0,GasA,Ex,Y,SBrkr,1698.0,0.0,1698.0,1,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2007,Fin,3,768.0,TA,TA,Y,327.0,64.0,2,2009,WD ,12.676076274775909
2story_1945_&_older,RL,107.0,12888.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,2Story,7,8,1937,1980,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,288.0,Unf,1005.0,GasA,TA,Y,SBrkr,1262.0,1005.0,2267.0,1,1,1,3,1,TA,7,Typ,2,Gd,Attchd,1937,Fin,2,498.0,TA,TA,Y,521.0,0.0,4,2007,WD ,12.296827008798639
1story_1946_&_newer_all_styles,RL,69.06,8885.0,Pave,IR1,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,BLQ,301.0,ALQ,864.0,GasA,TA,Y,SBrkr,902.0,0.0,902.0,1,1,0,2,1,TA,5,Typ,0,,Attchd,1983,Unf,2,484.0,TA,TA,Y,164.0,0.0,6,2006,WD ,11.782952602183288
2story_1946_&_newer,RL,62.0,8857.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,738.0,GasA,Ex,Y,SBrkr,738.0,757.0,1495.0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,2,440.0,TA,TA,Y,100.0,30.0,3,2007,New,12.054813614188037
1story_1946_&_newer_all_styles,RL,53.0,14137.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,5,5,1996,1997,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,450.0,Unf,1348.0,GasA,Gd,Y,SBrkr,1384.0,0.0,1384.0,1,2,0,3,1,Gd,7,Typ,0,,Attchd,1996,Unf,2,404.0,TA,TA,Y,0.0,39.0,11,2008,WD ,12.088976873653927
2story_1945_&_older,RL,53.0,6720.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,1921,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,585.0,GasA,TA,N,SBrkr,851.0,585.0,1436.0,0,1,0,3,1,TA,7,Typ,1,Gd,Detchd,1992,Unf,1,228.0,TA,TA,Y,184.0,0.0,4,2007,CWD,11.86005499606543
2story_1946_&_newer,RL,60.0,7500.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,476.0,Unf,952.0,GasA,Gd,Y,SBrkr,952.0,684.0,1636.0,1,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998,Fin,2,440.0,TA,TA,Y,0.0,84.0,10,2009,WD ,12.160028707028767
1story_1946_&_newer_all_styles,RL,63.0,13072.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941.0,Unf,1158.0,GasA,Ex,Y,SBrkr,1158.0,0.0,1158.0,1,1,1,3,1,Gd,5,Typ,0,,Detchd,2006,Unf,2,576.0,TA,TA,Y,0.0,50.0,5,2006,New,11.970350312009105
1story_1946_&_newer_all_styles,RL,67.0,10656.0,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,274.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,1638.0,GasA,Ex,Y,SBrkr,1646.0,0.0,1646.0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2007,RFn,3,870.0,TA,TA,Y,192.0,80.0,11,2007,New,12.424806488355683
11/2_story_finished_all_ages,RL,60.0,7200.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,5,7,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,252.0,TA,TA,BrkTil,Gd,TA,No,ALQ,569.0,Unf,731.0,GasA,Ex,Y,SBrkr,981.0,787.0,1768.0,1,1,1,3,1,Gd,7,Typ,2,TA,Detchd,1939,Unf,1,240.0,TA,TA,Y,0.0,0.0,6,2007,WD ,12.072541252905651
2_family_conversion__all_styles_and_ages,RL,80.0,8800.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,RRAn,Norm,2fmCon,1Story,6,7,1965,2000,Hip,CompShg,BrkFace,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,Mn,ALQ,901.0,BLQ,1187.0,GasA,Ex,Y,SBrkr,1565.0,0.0,1565.0,1,2,0,3,1,Gd,7,Min1,2,TA,Attchd,1965,RFn,1,299.0,TA,TA,Y,200.0,25.0,6,2006,WD ,12.132964173709535
21/2_story_all_ages,RM,60.0,10800.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,7,7,1914,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,390.0,Unf,880.0,GasW,Fa,N,SBrkr,880.0,888.0,1768.0,0,1,1,2,1,TA,6,Typ,2,TA,Detchd,1914,Unf,2,320.0,TA,TA,N,0.0,341.0,10,2006,WD ,12.0015054797889
split_or_multilevel,RL,80.0,13014.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1978,1978,Gable,CompShg,HdBoard,Plywood,BrkFace,39.0,TA,TA,CBlock,TA,TA,Av,ALQ,528.0,Unf,1008.0,GasA,TA,Y,SBrkr,1096.0,0.0,1096.0,1,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1978,Unf,2,484.0,TA,TA,Y,168.0,0.0,12,2008,WD ,11.967180737247824
2story_1946_&_newer,RL,69.06,15896.0,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,210.0,Gd,TA,PConc,Gd,TA,No,ALQ,913.0,Unf,1177.0,GasA,Ex,Y,SBrkr,1223.0,1089.0,2312.0,1,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,1999,Fin,3,658.0,TA,TA,Y,298.0,0.0,5,2009,WD ,12.409013489526863
1story_pud_(planned_unit_development)__1946_&_newer,RL,41.0,5395.0,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,733.0,Unf,1337.0,GasA,Gd,Y,SBrkr,1337.0,0.0,1337.0,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1993,RFn,2,462.0,TA,TA,Y,96.0,0.0,10,2008,WD ,12.100712129872347
2story_pud__1946_&_newer,FV,69.06,5105.0,Pave,IR2,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,239.0,Unf,551.0,GasA,Ex,Y,SBrkr,551.0,551.0,1102.0,0,2,1,2,1,Gd,4,Typ,0,,Detchd,2004,Unf,2,480.0,TA,TA,Y,0.0,60.0,3,2007,WD ,11.910358401381128
2story_1946_&_newer,RL,75.0,9473.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,99.7,Gd,TA,PConc,Gd,TA,No,GLQ,804.0,Unf,1128.0,GasA,Ex,Y,SBrkr,1128.0,903.0,2031.0,1,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,577.0,TA,TA,Y,0.0,211.0,3,2008,WD ,12.375815420117268
1story_1945_&_older,RL,60.0,8400.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,2,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Fa,No,Rec,290.0,Unf,290.0,GasA,TA,N,FuseF,438.0,0.0,438.0,0,1,0,1,1,Fa,3,Typ,0,,Detchd,1930,Unf,1,246.0,TA,TA,N,0.0,0.0,1,2009,WD ,11.002099841204238
split_foyer,RL,64.0,12102.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,5,5,1976,1976,Gable,CompShg,HdBoard,Plywood,BrkFace,222.0,TA,TA,CBlock,Gd,Gd,Gd,ALQ,456.0,Unf,456.0,GasA,Ex,Y,SBrkr,1033.0,0.0,1033.0,0,1,0,3,1,TA,6,Typ,0,,BuiltIn,1976,RFn,2,504.0,Fa,TA,Y,224.0,0.0,4,2008,WD ,12.013700752882718
2story_1946_&_newer,RL,41.0,10905.0,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1129.0,GasA,Ex,Y,SBrkr,1129.0,1198.0,2327.0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2003,RFn,2,596.0,TA,TA,Y,0.0,57.0,8,2008,WD ,12.388394202324129
1story_1946_&_newer_all_styles,RL,69.06,9556.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,52.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1168.0,GasA,Gd,Y,SBrkr,1187.0,0.0,1187.0,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1992,RFn,2,420.0,TA,TA,Y,0.0,21.0,8,2007,WD ,11.982929094215963
2_family_conversion__all_styles_and_ages,RH,58.0,6430.0,Pave,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Feedr,Norm,2fmCon,1.5Fin,6,6,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,780.0,Unf,780.0,GasA,TA,N,FuseF,816.0,524.0,1340.0,1,1,0,3,1,TA,6,Typ,0,,Attchd,1945,Unf,1,440.0,TA,TA,Y,0.0,0.0,7,2006,WD ,11.759785542901755
1story_1946_&_newer_all_styles,RL,80.0,14695.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1966,2008,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,TA,Gd,CBlock,TA,TA,No,ALQ,1387.0,Unf,1562.0,GasA,Gd,Y,SBrkr,1567.0,0.0,1567.0,1,2,0,2,1,Gd,5,Typ,2,Gd,Attchd,1966,Unf,2,542.0,TA,TA,Y,0.0,110.0,7,2009,WD ,12.4529327234617
2story_1945_&_older,RM,50.0,9000.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2Story,7,9,1920,1988,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,624.0,Unf,650.0,GasA,Ex,Y,SBrkr,832.0,650.0,1482.0,0,1,0,3,1,TA,7,Typ,0,,Detchd,1930,Unf,2,324.0,TA,TA,Y,0.0,0.0,7,2009,WD ,11.870599909242044
1story_1946_&_newer_all_styles,RL,67.0,8368.0,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1689.0,GasA,Ex,Y,SBrkr,1689.0,0.0,1689.0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007,Fin,2,433.0,TA,TA,Y,100.0,39.0,4,2007,New,12.353254815881487
2_family_conversion__all_styles_and_ages,RL,195.0,41600.0,Pave,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1969,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1047.0,Unf,1100.0,GasW,TA,Y,SBrkr,1424.0,0.0,1424.0,1,1,1,3,1,TA,7,Mod,0,,2Types,1969,Unf,3,828.0,TA,TA,N,144.0,0.0,11,2007,WD ,11.951180395901384
1story_1946_&_newer_all_styles,RL,59.0,6490.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,534.0,Unf,816.0,GasA,Ex,Y,SBrkr,816.0,0.0,816.0,0,1,0,2,1,TA,4,Typ,0,,Attchd,1983,Unf,1,264.0,TA,TA,Y,315.0,0.0,4,2008,WD ,11.763684183317412
